725231	Zvenimir	Zvenimir	Avdular,Avdullar,Zvenimir,Zvenimn,Zwenimir,Звенимир	43.81667	26.91667	P	PPL	BG	BG	55	SLS07	SLS07-07		0		178	Europe/Sofia	2011-05-08
725232	Zvegor	Zvegor	K'oseler,Keseler,K’oseler,Swegor,Zvegor,Звегор	43.4	26.8	P	PPL	BG	BG	54	SHU11	SHU11-10		0		328	Europe/Sofia	2011-05-08
725233	Zŭrnevo	Zurnevo	Kili Kada,Kilicadi,Kilikadi,Zrnevo,Zurnevo,Zŭrnevo,Зурнево	43.63333	27.33333	P	PPL	BG	BG	40	DOB27	DOB27-11		0		223	Europe/Sofia	2011-05-08
725234	Zŭnzarite	Zunzarite	Zunzarite,Zŭnzarite,Зънзарите	42.98333	25.63333	P	PPL	BG		62				0		307	Europe/Sofia	2011-05-08
725235	Zŭb	Zub	Zub,Zŭb,Зъб	41.4	25.65	P	PPL	BG		44				0		297	Europe/Sofia	2011-05-08
725236	Zoychene	Zoychene	Soitschene,Zoichene,Zoychene,Зоичене	41.46667	23.03333	P	PPL	BG	BG	38				0		1175	Europe/Sofia	2011-05-08
725237	Zornitsa	Zornitsa	Dongurlar,Sorniza,Zornica,Zornitsa,Зорница	41.63333	25.5	P	PPLW	BG	BG	44				0		223	Europe/Sofia	2011-05-08
725238	Zornitsa	Zornitsa	Doudzha,Sorniza,Zornica,Zornitsa,Зорница	43.33333	27.73333	P	PPL	BG	BG	61	VAR02			0		326	Europe/Sofia	2011-05-08
725239	Zornitsa	Zornitsa	Sorniza,Topouzlare,Topouzlàre,Topuzevo,Topuzlar,Topuzlare,Tupuzlare,Zornica,Zornitsa,Зорница	42.38333	26.93333	P	PPL	BG	BG	39	BGS06	BGS06-24		0		95	Europe/Sofia	2011-05-08
725240	Zornitsa	Zornitsa	Aydomush,Sornjza,Zornica,Zornitsa,Зорница	41.8	25.45	P	PPL	BG	BG	43	HKV34	HKV34-13		0		423	Europe/Sofia	2011-05-08
725241	Zornitsa	Zornitsa	Gjundjuzica,Gyundyuzitsa,Sorniza,Zornica,Zornitsa,Зорница	41.76667	24.66667	P	PPL	BG	BG	57	SML38			0		1349	Europe/Sofia	2011-05-08
725242	Zornitsa	Zornitsa	Zornica,Zornitsa,Зорница	41.63333	25.46667	P	PPL	BG		44	KRZ16	KRZ16-41		0		223	Europe/Sofia	2011-05-08
725243	Zorenishki Dol	Zorenishki Dol	Sorenischki-Dol,Zorenishki Dol,Zorenski Dol,Зоренски Дол	43	24.15	P	PPL	BG	BG	46				0		500	Europe/Sofia	2011-05-08
725244	Zora	Zora	Zora,Зора	42.83333	24.86667	P	PPLX	BG		46				0		639	Europe/Sofia	2011-05-08
725245	Zora	Zora	Aydanlii,Aydanliy,Sora,Zora,Зора,М№	42.41667	25.7	P	PPLX	BG	BG	59				0		170	Europe/Sofia	2011-05-08
725246	Zograf	Zograf	Casapli,Kasaplii,Zogra,Zograf,Зограф	43.73333	27.93333	P	PPL	BG	BG	40	DOB12			0		237	Europe/Sofia	2011-05-08
725247	Znamenosets	Znamenosets	Kara Burun,Snamenossez,Znamenosec,Znamenosets,Знаменосец	42.28333	25.9	P	PPL	BG	BG	59	SZR27	SZR27-08		0		99	Europe/Sofia	2011-05-08
725248	Zmievo	Zmievo	Smiewo,Zmievo,Змиево	41.48333	24.76667	P	PPL	BG	BG	57	SML31			0		1001	Europe/Sofia	2011-05-08
725249	Zmeyuva Dupka	Zmeyuva Dupka	Zmejuva dupka,Zmeyova Dupka,Zmeyuva Dupka,Змеюва дупка	43.16667	23.38333	T	SINK	BG	BG	47				0		894	Europe/Sofia	2011-05-08
725250	Zmeyovski Prokhod	Zmeyovski Prokhod	Derventski,Derventski Prokhod,Starozagorski Prokhod,Zmejuvski prokhod,Zmeyovski Prokhod,Змеювски проход	42.51667	25.61667	T	PASS	BG	BG	59				0		616	Europe/Sofia	2011-05-08
725251	Zmeyovo	Zmeyovo	Dervent,Smeiowo,Zmeiovo,Zmeivo,Zmejovo,Zmeyovo,Змейово	42.5	25.61667	P	PPL	BG	BG	59	SZR31	SZR31-14		0		447	Europe/Sofia	2011-05-08
725252	Zmeyno	Zmeyno	Ilandzhilar,Smeino,Zmeino,Zmejno,Zmeyno,Змейно	43.06667	26.35	P	PPL	BG	BG	60	TGV22	TGV22-49		0		468	Europe/Sofia	2011-05-08
725253	Zmeitsa	Zmeitsa	Alandzhievo,Smeiza,Zmeica,Zmeitsa,Змеица	41.63333	24.25	P	PPL	BG	BG	57	SML10	SML10-03		0		1328	Europe/Sofia	2011-05-08
725254	Zmeevo	Zmeevo	Embiemahle,Ilanlac,Ilanlak,Ilanluk,Ilanlăk,Ilanlŭk,Serpeni,Sherpeni,Zmeevo,Zmeewo,Şerpeni,Змеево	43.6	28.03333	P	PPL	BG	BG	40	DOB03	DOB03-06		0		244	Europe/Sofia	2011-05-08
725255	Zmeevo	Zmeevo	Mura Dere,Sweewo,Zmeevo,Змеево	42.88333	26.91667	P	PPL	BG	BG	39				0		227	Europe/Sofia	2011-05-08
725256	Zlokuchene	Zlokuchene	Slokutschene,Zlokuchene,Злокучене	43.6	24.61667	P	PPLX	BG	BG	50				0		44	Europe/Sofia	2011-05-08
725257	Zlokuchene	Zlokuchene	Slokutschane,Zlokuchane,Zlokuchene,Злокучене	42.4	23.55	P	PPL	BG	BG	58	SFO39	SFO39-11		0		894	Europe/Sofia	2011-05-08
725258	Zlokuchene	Zlokuchene	Slokutschene,Zlakuchene,Zlokuchene,Злокучене	42.21667	24.16667	P	PPL	BG	BG	48	PAZ29	PAZ29-08		0		231	Europe/Sofia	2011-05-08
725259	Zlogosh	Zlogosh	Slogosch,Slogosh,Zlogos,Zlogosh,Zlogoš,Злогош	42.45528	22.63833	P	PPL	BG	BG	45	KNL50			0		900	Europe/Sofia	2011-05-08
725260	Zlitrap	Zlitrap	Zlitrap,Злитрап	41.53333	25.46667	P	PPL	BG		44				0		509	Europe/Sofia	2011-05-08
725261	Zlidol	Zlidol	Sli Dol,Zlidol,Злидол	43.06667	23.51667	P	PPL	BG	BG	64	VRC27			0		521	Europe/Sofia	2011-05-08
725262	Zlatusha	Zlatusha	Slatuscha,Zlatosha,Zlatusa,Zlatusha,Zlatuša,Златуша	42.76667	23.05	P	PPL	BG	BG	58	SFO06			0		728	Europe/Sofia	2011-05-08
725263	Zlatovrŭkh	Zlatovrukh	Arapovo,Slatowrach,Slatowrăch,Zlatovreh,Zlatovrukh,Zlatovrŭkh,Zlatovurh,Златовръх	42.01667	25	P	PPL	BG	BG	51	PDV01	PDV01-07		0		219	Europe/Sofia	2011-05-08
725264	Zlatoustovo	Zlatoustovo	Slatoustowo,Yurendzhikler,Zlatoustovo,Златоустово	41.71667	25.8	P	PPL	BG	BG	43	HKV18	HKV18-04		0		515	Europe/Sofia	2011-05-08
725265	Zlatosel	Zlatosel	Sara Demirdzhii,Saru Demirdzhiy,Sarŭ Demirdzhiy,Slatossel,Zlatosel,Златосел	42.41667	25.01667	P	PPL	BG	BG	51	PDV07			0		336	Europe/Sofia	2011-05-08
725266	Zlatopole	Zlatopole	Pirinchlii,Pirinchliy,Slatiza,Zlatitsa,Zlatopole,Златополе	42.05	25.71667	P	PPL	BG	BG	43	HKV09	HKV09-12		0		98	Europe/Sofia	2011-05-08
725267	Zlatolist	Zlatolist	Sultanla,Sultanlu,Sultanlŭ,Sultansko,Zlatolist,Златолист	41.51667	25.63333	P	PPL	BG	BG	44	KRZ15	KRZ15-08		0		251	Europe/Sofia	2011-05-08
725268	Zlatolist	Zlatolist	Dolna Suschiza,Dolna Sushitsa,Zlatolist,Златолист	41.48333	23.41667	P	PPL	BG	BG	38	BLG40			0		376	Europe/Sofia	2011-05-08
725269	Zlatoklas	Zlatoklas	Balabanlar,Zlatoklas,Златоклас	43.91667	27.05	P	PPL	BG	BG	55	SLS10	SLS10-07		0		163	Europe/Sofia	2011-05-08
725270	Obshtina Zlatograd	Obshtina Zlatograd	Gradska Obshtina Zlatograd,Obshina Zlatograd,Obshtina Zlatograd,Zlatograd,Zlatogradska Obshtina,Обшина Златоград	41.4	25.06667	A	ADM2	BG	BG	57	SML11			0		504	Europe/Sofia	2011-05-08
725271	Zlatograd	Zlatograd	Dara-Dere,Daridere,Dară-Dere,Slatograd,Zlatograd,Zlatograde,Златоград	41.38333	25.1	P	PPL	BG		57	SML11			7331		522	Europe/Sofia	2007-04-05
725273	Zlatna Panega	Zlatna Panega	Panega,Zlatna Panega,Zlatna panega,Златна панега	43.08333	24.15	P	PPL	BG	BG	46	LOV38	LOV38-06		0		353	Europe/Sofia	2011-05-08
725274	Zlatna Niva	Zlatna Niva	Zlatna Niva,Златна Нива	43.35	27.05	S	RSTN	BG		54				0		202	Europe/Sofia	2011-05-08
725275	Zlatna Niva	Zlatna Niva	Slatna-Niwa,Teker,Zlatna Niva,Златна Нива	43.38333	27.06667	P	PPL	BG	BG	54	SHU19	SHU19-02		0		196	Europe/Sofia	2011-05-08
725276	Zlatna Livada	Zlatna Livada	Altun Chair,Altŭn Chair,Slatna Liwada,Zlatna Livada,Златна Ливада	42.1	25.43333	P	PPL	BG		43	SZR36			0		97	Europe/Sofia	2011-05-08
725277	Zlatiyata	Zlatiyata	Slatijata,Urochishte Zlatiya,Urochishte Zlatoe,Zlatijata,Zlatiya,Zlatiyata,Златията	43.66667	23.6	T	PLAT	BG	BG	47				0		125	Europe/Sofia	2011-05-08
725278	Zlatiya Obshtina	Zlatiya Obshtina	Obshhina Zlatija,Община Златия	43.76667	23.5	A	ADMD	BG		47				0		145	Europe/Sofia	2007-05-30
725279	Zlatiya	Zlatiya	Kaluger Machala,Kaluger Makhala,Kule Machala,Kule Makhala,Zlatija,Zlatiya,Златия	43.77944	23.50278	P	PPL	BG	BG	47	MON11	MON11-06		0		144	Europe/Sofia	2011-05-08
725280	Zlatiya	Zlatiya	Caramurat,Kara Murad,Zlatija,Zlatiya,Zltija,Злтия	43.58333	27.68333	P	PPL	BG	BG	40	DOB15			0		237	Europe/Sofia	2011-05-08
725281	Zlati Voyvoda	Zlati Voyvoda	Djinovo,Dshinowo,Dzhinovo,Dzinovo,Džinovo,Zlati Vojvoda,Zlati Voyvoda,Злати Войвода	42.58333	26.18333	P	PPL	BG	BG	56	SLV20	SLV20-18		0		219	Europe/Sofia	2011-05-08
725282	Zlatitsa	Zlatitsa	Zlatica,Zlatitsa,Златица	43.36917	23.18111	H	STM	BG		47				0		139	Europe/Sofia	2011-05-08
725283	Zlatitsa	Zlatitsa	Slatiza,Zlatica,Zlatitza,Zlatiza,Златица	42.71667	24.13333	P	PPL	BG		58	SFO47			5786		751	Europe/Sofia	2007-04-05
725284	Zlatitrap	Zlatitrap	Slati Trap,Zlaten Trap,Zlatitrap,Златитрап	42.11667	24.63333	P	PPL	BG	BG	51	PDV26	PDV26-09		0		185	Europe/Sofia	2011-05-08
725285	Zlatishko-Tetevenska Planina	Zlatishko-Tetevenska Planina	Zlatishka Planina,Zlatishko-Tetevenka Planina,Zlatishko-Tetevenska Planina,Zlatuska Plania,Златишко-Тетевенска Планина	42.78333	24.33333	T	MTS	BG	BG	46				0		1401	Europe/Sofia	2011-05-08
725286	Zlatishki Prokhod	Zlatishki Prokhod	Prokhod Zlatista,Zlatishki Prokhod,Zlatishki prokhod,Златишки проход	42.75	24.08333	T	PASS	BG	BG	58				0		1198	Europe/Sofia	2011-05-08
725287	Zlatirŭt	Zlatirut	Slati Rat,Slati Răt,Zlatirut,Zlatirŭt,Zlatitrap,Zlatu Rut,Zlatŭ Rŭt,Златитрап	42.75	25.73333	P	PPL	BG	BG	59	SZR37			0		717	Europe/Sofia	2011-05-08
