3061318	Žumberk	Zumberk	Zumberg,Žumberg	49.87271	15.85822	P	PPL	CZ		86				210		334	Europe/Prague	2006-11-25
3061319	Žumberk	Zumberk	Sonnberg,Zumberk,Žumberk	48.79654	14.68319	P	PPL	CZ		79				0		528	Europe/Prague	2011-05-08
3061320	Žumberk	Zumberk	Sonnberg,Zumberk,Žumberk	48.65	14.33333	P	PPL	CZ		79				0		656	Europe/Prague	2011-05-08
3061321	Žulová	Zulova	Friedeberg,Frydberk,Frydeberk,Frýdberk,Frýdeberk,Zaludova,Žaludová	50.30933	17.09871	P	PPL	CZ		84				1332		392	Europe/Prague	2006-11-25
3061322	Zuklín	Zuklin		49.15836	13.65232	P	PPL	CZ		87				0		788	Europe/Prague	2007-04-28
3061323	Zubrnice	Zubrnice	Sauberwitz	50.64945	14.22038	P	PPL	CZ		89				207		356	Europe/Prague	2006-11-25
3061324	Zubří	Zubri		49.77721	15.80136	P	PPL	CZ		86				0		539	Europe/Prague	2011-03-07
3061325	Zubří	Zubri		49.57111	16.12369	P	PPL	CZ		80				381		681	Europe/Prague	2006-11-25
3061326	Zubří	Zubri		49.5	18.1	P	PPL	CZ		90				0		491	Europe/Prague	2007-09-04
3061327	Zubří	Zubri		49.46603	18.09249	P	PPL	CZ		90				5409		400	Europe/Prague	2006-11-25
3061328	Zubčická Lhotka	Zubcicka Lhotka		48.80083	14.42824	P	PPL	CZ		79				0		584	Europe/Prague	2011-03-07
3061329	Zubčice	Zubcice		48.79403	14.40718	P	PPL	CZ		79				366		577	Europe/Prague	2006-11-25
3061330	Zubák	Zubak	Koncila,Koncilá,Zubak,Zubák	49.15297	18.11857	T	MT	CZ		90				0		749	Europe/Prague	2011-05-08
3061331	Ztracená Voda	Ztracena Voda	Verlorenwasser,Ztracena Voda,Ztracená Voda	50.20321	17.48897	P	PPL	CZ		85				0		652	Europe/Prague	2011-05-08
3061332	Zruč nad Sázavou	Zruc nad Sazavou	Zruc,Zruč	49.7401	15.10606	P	PPL	CZ		88				4925		369	Europe/Prague	2006-11-25
3061333	Zruč	Zruc		49.80683	13.42467	P	PPL	CZ		87				0		360	Europe/Prague	2011-03-07
3061334	Zrnětín	Zrnetin		49.79211	16.19782	P	PPL	CZ		86				0		470	Europe/Prague	2011-03-07
3061335	Zrcadlová Huť	Zrcadlova Hut'	Spiegelhutten,Spiegelhütten,Zrcadlova Hut',Zrcadlová Huť	48.88333	14.21667	P	PPL	CZ		79				0		675	Europe/Prague	2011-05-08
3061336	Zpupná Lhota	Zpupna Lhota	Alodialna Ligota,Zpupna Lhota,Zpupná Lhota	49.76238	18.6095	P	PPL	CZ		85				0		296	Europe/Prague	2011-05-08
3061337	Žopy	Zopy		49.33264	17.60937	P	PPL	CZ		90				0		356	Europe/Prague	2011-03-07
3061338	Zohorská Graba	Zohorska Graba		48.26667	16.95	H	STM	CZ		00				0		134	Europe/Prague	1993-12-12
3061340	Žofina Huť	Zofina Hut'	Sophienwald,Zofina Hut',Žofina Huť	48.80625	14.89853	P	PPL	CZ		79				0		476	Europe/Prague	2011-05-08
3061341	Žofiin Les	Zofiin Les		48.8	14.9	V	FRST	CZ		79				0		483	Europe/Prague	2007-08-22
3061342	Znosim	Znosim		49.70044	14.86946	P	PPL	CZ		88				0		354	Europe/Prague	2007-08-30
3061343	Okres Znojmo	Okres Znojmo		48.9	16.13333	A	ADM2	CZ		78	0627			114214		252	Europe/Prague	2006-03-23
3061344	Znojmo	Znojmo	Znaim,Znain,Znaym,Znoimium,Znojmo,Зноймо	48.8555	16.0488	P	PPL	CZ		78				35280		224	Europe/Prague	2010-01-29
3061345	Znětinek	Znetinek		49.46955	15.92654	P	PPL	CZ		80				208		553	Europe/Prague	2006-11-25
3061346	Zňátky	Znatky		49.19188	16.14241	P	PPL	CZ		80				0		361	Europe/Prague	2011-03-07
3061347	Zmrzlík	Zmrzlik		50.01205	14.31418	P	PPL	CZ		88				0		344	Europe/Prague	2011-03-07
3061348	Zmišovice	Zmisovice		49.49596	15.19044	P	PPL	CZ		80				0		466	Europe/Prague	2007-08-22
3061349	Zminný	Zminny		50.02735	15.86504	P	PPL	CZ		86				0		227	Europe/Prague	2011-03-07
3061350	Žlutice	Zlutice	Luditz	50.09192	13.16297	P	PPL	CZ		81				2817		502	Europe/Prague	2006-11-25
3061351	Žlutava	Zlutava		49.19976	17.49037	P	PPL	CZ		90				1001		309	Europe/Prague	2006-11-25
3061352	Žlunice	Zlunice	Zlunitz	50.30212	15.38197	P	PPL	CZ		00				261		254	Europe/Prague	2006-11-25
3061353	Zlukov	Zlukov		49.19293	14.74509	P	PPL	CZ		79				230		447	Europe/Prague	2006-11-25
3061354	Zlučín	Zlucin		49.53783	14.25568	P	PPL	CZ		79				0		506	Europe/Prague	2011-03-07
3061355	Zlovědice	Zlovedice	Lobeditz	50.26542	13.39388	P	PPL	CZ	CZ	89				0		287	Europe/Prague	2007-04-24
3061356	Žloukovice	Zloukovice		50.01513	13.95573	P	PPL	CZ		00				0		276	Europe/Prague	2006-10-06
3061357	Zlosyň	Zlosyn		50.27795	14.3686	P	PPL	CZ		88				340		192	Europe/Prague	2006-11-25
3061358	Zlonín	Zlonin		50.21573	14.50775	P	PPL	CZ		88				198		171	Europe/Prague	2006-11-25
3061359	Zlonický potok	Zlonicky potok		50.28333	14.23333	H	STM	CZ		00				0		194	Europe/Prague	2006-10-07
3061360	Zlonice	Zlonice	Zlonitz	50.2875	14.09214	P	PPL	CZ		88				2232		229	Europe/Prague	2006-11-25
3061361	Zlončice	Zloncice		50.22878	14.35757	P	PPL	CZ		88				180		232	Europe/Prague	2006-11-25
3061362	Zlobice	Zlobice		49.30182	17.31261	P	PPL	CZ		90				596		271	Europe/Prague	2006-11-25
3061363	Zlobica	Zlobica		49.32403	16.5217	T	MT	CZ		78				0		361	Europe/Prague	2011-03-07
3061364	Zlivice	Zlivice		49.35717	14.10404	P	PPL	CZ		79				0		395	Europe/Prague	2007-04-28
3061365	Zliv	Zliv		50.35976	15.23268	P	PPL	CZ		82				0		221	Europe/Prague	2011-03-07
3061366	Zliv	Zliv	Schlief,Zliv	49.82956	12.80347	P	PPL	CZ		87				0		541	Europe/Prague	2011-05-08
3061367	Zliv	Zliv		49.76777	15.02512	P	PPL	CZ		88				0		363	Europe/Prague	2007-08-30
3061368	Zliv	Zliv	Zliw	49.06608	14.36613	P	PPL	CZ		79				3656		383	Europe/Prague	2006-11-25
3061369	Zlín	Zlin	Zlin,Zlín,Ζλιν,Злин,Зьлін	49.22665	17.66633	P	PPLX	CZ		90				79177		247	Europe/Prague	2007-02-17
3061370	Zlín	Zlin	Gottvoldov,Gottwald,Gottwaldov,Zlin,Zlín,Злин	49.21667	17.66667	P	PPLA	CZ		90				78759		317	Europe/Prague	2011-05-08
3061371	Zlíčko	Zlicko		50.48397	16.22148	P	PPL	CZ		82				0		478	Europe/Prague	2011-03-07
3061372	Zlíčín	Zlicin		50.06182	14.28965	P	PPL	CZ		88				0		367	Europe/Prague	2011-03-07
3061373	Zlíchov	Zlichov		50.04926	14.40471	P	PPLX	CZ		52				0		185	Europe/Prague	2007-04-24
3061374	Zlíč	Zlic		50.41371	16.06407	P	PPL	CZ		82				0		288	Europe/Prague	2008-05-20
3061375	Žlíbky	Zlibky	Roehenberg,Rohrenberg,Röhrenberg,Zlibky,Žlíbky	48.92501	13.7344	P	PPL	CZ		79				0		946	Europe/Prague	2011-05-08
3061376	Žlíbek	Zlibek	Rindlau,Zlibek,Žlíbek	49.16269	13.57653	P	PPL	CZ		87				0		832	Europe/Prague	2011-05-08
3061377	Zlešice	Zlesice		49.1395	13.86025	P	PPL	CZ		79				0		578	Europe/Prague	2011-03-07
3061378	Zlechov	Zlechov		49.07396	17.37938	P	PPL	CZ		90				1567		227	Europe/Prague	2006-11-25
3061379	Žleby	Zleby	Zleb,Žleb	49.88958	15.48853	P	PPL	CZ		88				1267		242	Europe/Prague	2006-11-25
3061380	Žlebské Chvalovice	Zlebske Chvalovice		49.89271	15.56671	P	PPL	CZ		86				77		516	Europe/Prague	2006-11-25
3061381	Žlebská Lhotka	Zlebska Lhotka		49.89891	15.55449	P	PPL	CZ		86				0		350	Europe/Prague	2011-03-07
3061382	Žleb	Zleb	Valterice,Valteřice,Waltersdorf,Zleb,Žleb	50.1025	16.90632	P	PPL	CZ		84				0		618	Europe/Prague	2011-05-08
3061383	Zlatý vrch	Zlaty vrch	Zlata Hora,Zlatá Hora	49.23333	14.11667	T	MT	CZ	CZ	00				0		420	Europe/Prague	2006-10-07
3061384	Zlatý potok	Zlaty potok		49.1	14.06667	H	STM	CZ		00				0		446	Europe/Prague	2006-10-07
3061385	Zlatý potok	Zlaty potok		49.08333	16.7	H	STM	CZ		00				0		195	Europe/Prague	2006-10-07
3061386	Zlatý Potok	Zlaty Potok	Goldenfluss	50.07912	16.81509	P	PPL	CZ		84				0		584	Europe/Prague	2008-04-18
3061387	Zlatý Potok	Zlaty Potok	Goldbach,Zlaty Potok,Zlatý Potok	49.75	12.43333	P	PPL	CZ		87				0		700	Europe/Prague	2011-05-08
3061388	Zlatý Kopec	Zlaty Kopec	Goldenhoele,Goldenhohe,Goldenhöhe,Zlaty Kopec,Zlatý Kopec	50.43738	12.84542	P	PPL	CZ		81				0		806	Europe/Prague	2011-05-08
3061389	Zlatníky	Zlatniky	Slatnik	49.96044	14.48041	P	PPL	CZ	CZ	00				0		360	Europe/Prague	2006-07-27
3061390	Zlatníky	Zlatniky		49.9425	17.82976	P	PPL	CZ		85				0		290	Europe/Prague	2007-09-04
3061391	Zlatkov	Zlatkov		49.49221	16.25616	P	PPL	CZ		80				0		584	Europe/Prague	2008-07-08
3061392	Zlatenka	Zlatenka		49.42345	15.05855	P	PPL	CZ		80				46		586	Europe/Prague	2006-11-25
3061393	Zlaté Hory	Zlate Hory	Cukmantl,Zuckmantel	50.2638	17.39602	P	PPL	CZ		84				4446		486	Europe/Prague	2006-11-25
3061394	Zlaté Hory	Zlate Hory	Kamberg,Kamberk	49.59713	14.84031	P	PPL	CZ		88				164		389	Europe/Prague	2006-11-25
3061395	Zlatá Studna	Zlata Studna		49.06667	14.6	P	PPL	CZ		79				0		477	Europe/Prague	2007-08-22
3061396	Zlatá Stoka	Zlata Stoka		49.15187	14.70108	H	STM	CZ		79				0		404	Europe/Prague	2007-08-22
3061397	Nová řeka	Nova reka		49.08331	14.86905	H	CNL	CZ		00				0		419	Europe/Prague	2006-10-09
3061398	Zlatá Olešnice	Zlata Olesnice	Zlata Olesnice-Semilska,Zlatá Olešnice-Semilská	50.70855	15.35351	P	PPL	CZ		00				522		681	Europe/Prague	2006-11-25
3061399	Zlatá Olešnice	Zlata Olesnice	Goldenols,Goldenöls	50.6205	15.94786	P	PPL	CZ		00				154		523	Europe/Prague	2008-05-20
3061400	Zlatá Koruna	Zlata Koruna		48.85477	14.36954	P	PPL	CZ		79				680		534	Europe/Prague	2006-11-25
3061401	Zlatá Hvězda	Zlata Hvezda	Stern,Zlata Hvezda,Zlatá Hvězda	50.13551	13.10794	P	PPL	CZ		81				0		650	Europe/Prague	2011-05-08
3061402	Zlatá	Zlata	Golddorf,Zlata,Zlatá	50.11291	12.56644	P	PPL	CZ		81				0		491	Europe/Prague	2011-05-08
3061403	Zlatá	Zlata	Goldberg,Zlata,Zlatá	48.85	14.05	P	PPL	CZ		79				0		942	Europe/Prague	2011-05-08
3061404	Zlámanka	Zlamanka		49.23912	17.37689	P	PPL	CZ		90				0		249	Europe/Prague	2011-03-07
3061405	Zlámanec	Zlamanec		49.12985	17.6282	P	PPL	CZ		90				293		319	Europe/Prague	2006-11-25
3061406	Žlábek	Zlabek		50.56783	15.29623	P	PPL	CZ		83				0		478	Europe/Prague	2011-03-07
3061407	Žlábek	Zlabek	Rindles,Zlabek,Žlábek	48.76063	14.08712	P	PPL	CZ		79				0		752	Europe/Prague	2011-05-08
3061408	Žizníkov	Ziznikov	Schiessnig,Ziznikov,Žizníkov	50.67836	14.57911	P	PPL	CZ		83				0		243	Europe/Prague	2011-05-08
3061409	Žiznětice	Ziznetice	Schiessnetitz,Ziznetice,Žiznětice	49.28884	13.19014	P	PPL	CZ		87				0		629	Europe/Prague	2011-05-08
3061410	Žižkovo Pole	Zizkovo Pole	Schonfeld,Schönfeld	49.61063	15.73513	P	PPL	CZ		80				341		513	Europe/Prague	2006-11-25
3061411	Žižkovec	Zizkovec		50.14951	15.71075	P	PPL	CZ		82				0		227	Europe/Prague	2011-03-07
3061412	Žižkov	Zizkov	Zizkov,Žižkov	50.08333	14.45	P	PPLX	CZ		88				0		259	Europe/Prague	2011-05-08
3061413	Žižín	Zizin		50.01912	15.84742	P	PPL	CZ		86				0		224	Europe/Prague	2011-03-07
3061414	Žižice	Zizice		50.24628	14.15389	P	PPL	CZ		88				530		232	Europe/Prague	2006-11-25
3061415	Žiželice	Zizelice		50.36741	13.53999	P	PPL	CZ		89				428		273	Europe/Prague	2006-11-25
3061416	Žiželice	Zizelice	Zizelic,Žiželic	50.13192	15.3932	P	PPL	CZ		88				1322		201	Europe/Prague	2006-11-25
3061417	Žíželeves	Zizeleves		50.33217	15.7585	P	PPL	CZ		82				0		264	Europe/Prague	2011-03-07
3061418	Životice	Zivotice	Zivotice,Životice	49.77048	18.47584	P	PPL	CZ		85				0		306	Europe/Prague	2011-05-08
3061419	Životice	Zivotice		49.61051	14.05376	P	PPL	CZ		88				0		519	Europe/Prague	2011-03-07
3061420	Životice	Zivotice	Seitendorf bei Neutitschein	49.55991	18.04539	P	PPL	CZ		85				0		414	Europe/Prague	2010-07-03
3061421	Životice	Zivotice		49.46648	13.68519	P	PPL	CZ		87				53		498	Europe/Prague	2006-11-25
3061422	Živonín	Zivonin		50.37962	14.63583	P	PPL	CZ		88				0		265	Europe/Prague	2007-08-30
3061423	Živohošť	Zivohost'	Schiwohoscht,Ziwohonscht,Ziwohoscht,Žiwohonscht,Žiwohoscht	49.75149	14.40994	P	PPL	CZ	CZ	00				0		269	Europe/Prague	2006-10-06
3061424	Živec	Zivec		49.31667	14.2	S	BLDG	CZ		79				0		499	Europe/Prague	2007-08-22
3061425	Živanice	Zivanice	Ziwanitz,Žiwanitz	50.06157	15.64944	P	PPL	CZ		86				817		212	Europe/Prague	2006-11-25
3061426	Žitovlice	Zitovlice		50.29398	15.13699	P	PPL	CZ		88				138		193	Europe/Prague	2006-11-25
3061427	Žitná	Zitna		49.03878	14.13096	P	PPL	CZ		79				0		521	Europe/Prague	2011-03-07
3061428	Žitková	Zitkova		48.98025	17.88023	P	PPL	CZ		90				203		522	Europe/Prague	2006-11-25
3061429	Žitín	Zitin	Dvur Zitin,Dvŭr Žitín	49.50136	13.47559	P	PPL	CZ	CZ	87				0		492	Europe/Prague	2007-04-24
3061430	Žitětín	Zitetin		50.35446	15.3311	P	PPL	CZ		82				0		240	Europe/Prague	2011-03-07
3061431	Žitenice	Zitenice	Schudenitz,Schüdenitz	50.55528	14.15665	P	PPL	CZ		89				1407		197	Europe/Prague	2006-11-25
3061432	Žiteč	Zitec	Sichs,Zitec,Žiteč	49.00154	14.91608	P	PPL	CZ		79				0		465	Europe/Prague	2011-05-08
3061433	Žišpachy	Zispachy	Sichelbach,Zispachy,Žišpachy	49.03333	15.16667	P	PPL	CZ		79				0		653	Europe/Prague	2011-05-08
3061434	Žíšov	Zisov		49.9036	15.06402	P	PPL	CZ		88				0		403	Europe/Prague	2007-08-30
3061435	Žíšov	Zisov		49.19994	14.69338	P	PPL	CZ		79				159		407	Europe/Prague	2006-11-25
3061436	Žirovnice	Zirovnice	Zirovnice,Zirovnicka,Žirovnice,Žirovnicka	49.18812	15.06477	H	STM	CZ		79				0		468	Europe/Prague	2011-05-08
3061437	Žirovnice	Zirovnice	Serowitz	49.25318	15.18824	P	PPL	CZ		80				3085		575	Europe/Prague	2006-11-25
3061438	Žírovice	Zirovice	Sirmitz,Zirovice,Žírovice	50.14004	12.35826	P	PPL	CZ		81				0		454	Europe/Prague	2011-05-08
3061439	Žirov	Zirov		49.46425	15.3236	P	PPL	CZ		80				60		551	Europe/Prague	2006-11-25
3061440	Žirnice	Zirnice	Neuhaus,Zdirnice,Zirnice,Ždirnice,Žirnice	50.04745	12.46854	P	PPL	CZ		81				0		497	Europe/Prague	2011-05-08
3061441	Žirecká Podstráň	Zirecka Podstran	Leuten,Zirecka Podstran,Žirecká Podstráň	50.40612	15.84246	P	PPL	CZ		82				0		299	Europe/Prague	2011-05-08
3061442	Žírec	Zirec		49.08425	13.72087	P	PPL	CZ		79				0		731	Europe/Prague	2011-03-07
